idFaturamento;idCheckIn;valorTotal;dataFaturamento;tipoPagamento;classificacao
38;38;172,19;01/04/2024 00:00:00;Dinheiro;3
39;39;126,29;01/04/2024 00:00:00;Cartão;4
40;40;201,95;01/04/2024 00:00:00;Dinheiro;2
41;41;175,63;01/04/2024 00:00:00;Dinheiro;4
42;42;187,13;01/04/2024 00:00:00;Fatura;1
43;43;140,9;01/04/2024 00:00:00;Fatura;3
44;44;157,14;01/04/2024 00:00:00;Dinheiro;4
45;45;174,2;01/04/2024 00:00:00;Dinheiro;4
46;46;177,87;01/04/2024 00:00:00;Cartão;4
47;47;169,77;01/04/2024 00:00:00;Fatura;1
48;48;122,95;01/04/2024 00:00:00;Cartão;3
49;49;183,92;02/04/2024 00:00:00;Cartão;2
50;50;135,67;02/04/2024 00:00:00;Fatura;4
51;51;171,95;02/04/2024 00:00:00;Fatura;1
52;52;148,06;02/04/2024 00:00:00;Cartão;1
53;53;204,69;02/04/2024 00:00:00;Cartão;1
54;54;156,45;02/04/2024 00:00:00;Cartão;5
55;55;147,31;02/04/2024 00:00:00;Fatura;4
56;56;195,63;02/04/2024 00:00:00;Fatura;5
57;57;194,81;02/04/2024 00:00:00;Dinheiro;5
58;58;182,43;02/04/2024 00:00:00;Dinheiro;2
59;59;174,54;02/04/2024 00:00:00;Dinheiro;5
60;60;135,71;02/04/2024 00:00:00;Dinheiro;4
61;61;118,28;02/04/2024 00:00:00;Dinheiro;3
62;62;136,41;03/04/2024 00:00:00;Fatura;5
63;63;154,28;03/04/2024 00:00:00;Fatura;3
64;64;186,02;03/04/2024 00:00:00;Fatura;2
65;65;142,93;03/04/2024 00:00:00;Cartão;3
66;66;161,73;03/04/2024 00:00:00;Cartão;5
67;67;178,14;03/04/2024 00:00:00;Cartão;4
68;68;204,06;03/04/2024 00:00:00;Cartão;5
69;69;121,77;03/04/2024 00:00:00;Cartão;4
70;70;150,88;03/04/2024 00:00:00;Dinheiro;1
71;71;158,08;03/04/2024 00:00:00;Fatura;5
72;72;168,95;03/04/2024 00:00:00;Fatura;2
73;73;149,15;03/04/2024 00:00:00;Cartão;3
74;74;189,71;04/04/2024 00:00:00;Dinheiro;3
75;75;165,26;04/04/2024 00:00:00;Dinheiro;2
76;76;158,61;04/04/2024 00:00:00;Fatura;5
77;77;208,28;04/04/2024 00:00:00;Dinheiro;3
78;78;105,48;04/04/2024 00:00:00;Fatura;4
79;79;126,51;04/04/2024 00:00:00;Fatura;5
80;80;173,66;04/04/2024 00:00:00;Dinheiro;3
81;81;191,62;04/04/2024 00:00:00;Fatura;3
82;82;110,97;04/04/2024 00:00:00;Dinheiro;2
83;83;131,34;04/04/2024 00:00:00;Dinheiro;3
84;84;158,44;04/04/2024 00:00:00;Fatura;5
85;85;177,54;04/04/2024 00:00:00;Fatura;2
86;86;163,92;04/04/2024 00:00:00;Fatura;1
87;87;146,27;04/04/2024 00:00:00;Fatura;5
88;88;160,56;04/04/2024 00:00:00;Fatura;3
89;89;161,48;05/04/2024 00:00:00;Fatura;5
90;90;170,51;05/04/2024 00:00:00;Fatura;4
91;91;139,4;05/04/2024 00:00:00;Fatura;2
92;92;107,3;05/04/2024 00:00:00;Fatura;1
93;93;169,45;05/04/2024 00:00:00;Cartão;3
94;94;81,34;05/04/2024 00:00:00;Fatura;1
95;95;200,58;05/04/2024 00:00:00;Dinheiro;3
96;96;148,16;05/04/2024 00:00:00;Cartão;2
97;97;199,01;05/04/2024 00:00:00;Dinheiro;5
98;98;165,63;05/04/2024 00:00:00;Fatura;3
99;99;227,47;05/04/2024 00:00:00;Fatura;2
100;100;132,72;06/04/2024 00:00:00;Dinheiro;2
101;101;152,52;06/04/2024 00:00:00;Cartão;4
102;102;141,15;06/04/2024 00:00:00;Cartão;2
103;103;152,32;06/04/2024 00:00:00;Fatura;1
104;104;161,12;06/04/2024 00:00:00;Fatura;5
105;105;99,06;06/04/2024 00:00:00;Dinheiro;5
106;106;158,3;06/04/2024 00:00:00;Cartão;3
107;107;147,42;06/04/2024 00:00:00;Cartão;2
108;108;120,32;06/04/2024 00:00:00;Fatura;1
109;109;187,32;06/04/2024 00:00:00;Cartão;1
110;110;176,84;06/04/2024 00:00:00;Cartão;5
111;111;150,44;06/04/2024 00:00:00;Dinheiro;2
112;112;121,81;06/04/2024 00:00:00;Dinheiro;4
113;113;186,47;06/04/2024 00:00:00;Fatura;2
114;114;134,35;06/04/2024 00:00:00;Dinheiro;4
115;115;207,47;07/04/2024 00:00:00;Fatura;5
116;116;156,76;07/04/2024 00:00:00;Fatura;1
117;117;187,22;07/04/2024 00:00:00;Cartão;1
118;118;121,68;07/04/2024 00:00:00;Dinheiro;4
119;119;190,91;07/04/2024 00:00:00;Cartão;4
120;120;146,57;07/04/2024 00:00:00;Dinheiro;1
121;121;154,89;07/04/2024 00:00:00;Dinheiro;2
122;122;145,51;07/04/2024 00:00:00;Dinheiro;2
123;123;122,9;07/04/2024 00:00:00;Fatura;3
124;124;210,51;07/04/2024 00:00:00;Dinheiro;5
125;125;144,97;07/04/2024 00:00:00;Cartão;5
126;126;166,36;07/04/2024 00:00:00;Dinheiro;1
127;127;155,92;08/04/2024 00:00:00;Fatura;3
128;128;131,89;08/04/2024 00:00:00;Cartão;2
129;129;110,93;08/04/2024 00:00:00;Dinheiro;5
130;130;169,02;08/04/2024 00:00:00;Fatura;3
131;131;124,41;08/04/2024 00:00:00;Dinheiro;5
132;132;155,24;08/04/2024 00:00:00;Dinheiro;4
133;133;219,33;08/04/2024 00:00:00;Fatura;3
134;134;164,37;08/04/2024 00:00:00;Cartão;1
135;135;88,34;08/04/2024 00:00:00;Cartão;1
136;136;155,72;08/04/2024 00:00:00;Cartão;3
137;137;168,28;08/04/2024 00:00:00;Fatura;4
138;138;157,17;08/04/2024 00:00:00;Dinheiro;1
139;139;197,23;08/04/2024 00:00:00;Cartão;2
140;140;146,91;08/04/2024 00:00:00;Dinheiro;4
141;141;197,79;08/04/2024 00:00:00;Dinheiro;3
142;142;150,86;09/04/2024 00:00:00;Cartão;2
143;143;137,86;09/04/2024 00:00:00;Dinheiro;1
144;144;127,09;09/04/2024 00:00:00;Dinheiro;2
145;145;103,52;09/04/2024 00:00:00;Fatura;5
146;146;185,65;09/04/2024 00:00:00;Dinheiro;1
147;147;154,44;09/04/2024 00:00:00;Dinheiro;1
148;148;140,27;09/04/2024 00:00:00;Cartão;1
149;149;190,66;09/04/2024 00:00:00;Fatura;2
150;150;121,88;09/04/2024 00:00:00;Fatura;3
151;151;191,99;09/04/2024 00:00:00;Cartão;4
152;152;158,73;10/04/2024 00:00:00;Dinheiro;5
153;153;183,82;10/04/2024 00:00:00;Fatura;1
154;154;184,6;10/04/2024 00:00:00;Fatura;3
155;155;191,65;10/04/2024 00:00:00;Dinheiro;5
156;156;118,71;10/04/2024 00:00:00;Fatura;1
157;157;204,04;10/04/2024 00:00:00;Dinheiro;3
158;158;130,38;10/04/2024 00:00:00;Dinheiro;2
159;159;125,41;10/04/2024 00:00:00;Cartão;5
160;160;150,53;10/04/2024 00:00:00;Cartão;5
161;161;173,5;10/04/2024 00:00:00;Fatura;1
162;162;104,32;10/04/2024 00:00:00;Fatura;2
163;163;138,57;10/04/2024 00:00:00;Fatura;1
164;164;181,84;10/04/2024 00:00:00;Dinheiro;2
165;165;147,78;10/04/2024 00:00:00;Dinheiro;5
166;166;211,13;11/04/2024 00:00:00;Fatura;5
167;167;205,35;11/04/2024 00:00:00;Fatura;3
168;168;144,64;11/04/2024 00:00:00;Fatura;2
169;169;92,3;11/04/2024 00:00:00;Fatura;5
170;170;126,49;11/04/2024 00:00:00;Fatura;4
171;171;133,61;11/04/2024 00:00:00;Cartão;5
172;172;175,7;11/04/2024 00:00:00;Fatura;4
173;173;173,62;11/04/2024 00:00:00;Dinheiro;3
174;174;158,82;11/04/2024 00:00:00;Fatura;1
175;175;152,21;11/04/2024 00:00:00;Cartão;1
176;176;194,08;12/04/2024 00:00:00;Cartão;2
177;177;176,63;12/04/2024 00:00:00;Fatura;4
178;178;150,85;12/04/2024 00:00:00;Dinheiro;3
179;179;194,66;12/04/2024 00:00:00;Dinheiro;4
180;180;121,95;12/04/2024 00:00:00;Dinheiro;1
181;181;199,8;12/04/2024 00:00:00;Cartão;3
182;182;152,7;12/04/2024 00:00:00;Fatura;4
183;183;133,92;12/04/2024 00:00:00;Fatura;5
184;184;156,25;12/04/2024 00:00:00;Dinheiro;3
185;185;184,9;12/04/2024 00:00:00;Dinheiro;1
186;186;193,66;12/04/2024 00:00:00;Cartão;5
187;187;154,87;12/04/2024 00:00:00;Fatura;4
188;188;171,23;12/04/2024 00:00:00;Cartão;5
189;189;140,48;12/04/2024 00:00:00;Fatura;2
190;190;129,33;12/04/2024 00:00:00;Dinheiro;2
191;191;165,78;12/04/2024 00:00:00;Cartão;1
192;192;147,86;13/04/2024 00:00:00;Fatura;5
193;193;175,42;13/04/2024 00:00:00;Dinheiro;1
194;194;193,42;13/04/2024 00:00:00;Cartão;5
195;195;149,17;13/04/2024 00:00:00;Dinheiro;5
196;196;103,52;13/04/2024 00:00:00;Cartão;5
197;197;113,93;13/04/2024 00:00:00;Dinheiro;1
198;198;82,4;13/04/2024 00:00:00;Fatura;4
199;199;108,78;13/04/2024 00:00:00;Cartão;4
200;200;185,24;13/04/2024 00:00:00;Fatura;2
201;201;184,02;13/04/2024 00:00:00;Fatura;2
202;202;241,85;13/04/2024 00:00:00;Fatura;4
203;203;172,5;13/04/2024 00:00:00;Cartão;1
204;204;136,95;13/04/2024 00:00:00;Fatura;1
205;205;170,28;13/04/2024 00:00:00;Dinheiro;3
206;206;125,47;14/04/2024 00:00:00;Fatura;1
207;207;148,22;14/04/2024 00:00:00;Fatura;4
208;208;169,79;14/04/2024 00:00:00;Fatura;4
209;209;158,8;14/04/2024 00:00:00;Cartão;1
210;210;144,31;14/04/2024 00:00:00;Cartão;3
211;211;178,76;14/04/2024 00:00:00;Fatura;1
212;212;165,48;14/04/2024 00:00:00;Dinheiro;5
213;213;147,79;14/04/2024 00:00:00;Dinheiro;4
214;214;152,91;14/04/2024 00:00:00;Dinheiro;3
215;215;120,86;14/04/2024 00:00:00;Fatura;1
216;216;185,02;14/04/2024 00:00:00;Cartão;3
217;217;142,59;15/04/2024 00:00:00;Fatura;5
218;218;149,33;15/04/2024 00:00:00;Dinheiro;1
219;219;189,78;15/04/2024 00:00:00;Dinheiro;3
220;220;185,41;15/04/2024 00:00:00;Dinheiro;1
221;221;164,01;15/04/2024 00:00:00;Fatura;2
222;222;109,14;15/04/2024 00:00:00;Fatura;4
223;223;175,88;15/04/2024 00:00:00;Fatura;5
224;224;123,4;15/04/2024 00:00:00;Dinheiro;3
225;225;150,39;15/04/2024 00:00:00;Fatura;3
